trecho,ocorrencias
ALCEMIR,4132
ALCENI,1721
ALCENIR,3720
ALCENIRA,1764
ALCENO,1701
ALCENOR,1035
ALCEU,32969
ALCI,5671
ALCIANE,1316
ALCIBIADES,1612
ALCIDA,1020
ALCIDES,129900
ALCIDIA,4159
ALCIDINO,1208
ALCIDIO,3982
ALCIDO,1303
ALCIENE,2932
ALCILEIA,1711
ALCILEIDE,1193
ALCILENE,10864
ALCIMAR,11090
ALCIMARA,1471
ALCINA,16933
ALCINDA,3164
ALCINDO,13862
ALCINEA,2047
ALCINEI,1964
ALCINEIA,4071
ALCINEIDE,2760
ALCINETE,1469
ALCINO,19520
ALCIONE,42800
ALCIONEIDE,1069
ALCIONI,1154
ALCIR,11572
ALCIRA,1225
ALCIRENE,1367
ALCIVAN,1401
ALCOFORADO,3357
ALCY,3671
ALCYR,1729
ALDA,49711
ALDACI,2414
ALDACIR,1413
ALDAIR,27296
ALDAIRES,1031
ALDAIZA,1074
ALDANA,1045
ALDEANE,1595
ALDECI,8068
ALDECIR,3406
ALDECY,2131
ALDEIDE,1694
ALDEIR,5836
ALDEMAR,6951
ALDEMI,1051
ALDEMIR,23449
ALDEMIRA,2337
ALDEMIRO,2209
ALDENEIDE,1453
ALDENI,6407
ALDENICE,8702
ALDENIR,16426
ALDENIRA,5206
ALDENISE,1803
ALDENIZA,2344
ALDENIZE,1924
ALDENOR,8139
ALDENORA,17610
ALDENOURA,1288
ALDENY,1220
ALDERI,3751
ALDERICO,5019
ALDERINA,2527
ALDETE,1521
ALDEVINO,1281
ALDI,1421
ALDILENE,3846
ALDIMAR,1332
ALDINA,4844
ALDINEA,1005
ALDINEI,2280
ALDINEIA,3424
ALDINEIDE,1272
ALDINETE,1228
ALDINO,3892
ALDIR,6985
ALDIRA,1050
ALDIRENE,1046
ALDO,57044
ALDOIR,1328
ALDOMIRO,1045
ALDORI,2344
ALDRIGHI,1115
ALDRIN,1306
ALE,1428
ALEANDRA,2133
ALEANDRO,5654
ALECI,1395
ALECIA,2170
ALECIO,12771
ALECRIM,15510
ALECSANDER,1912
ALECSANDRA,2686
ALECSANDRO,4610
ALEF,20868
ALEFE,3300
ALEFF,3400
ALEGRE,7607
ALEGRIA,2342
ALEIDA,1115
